t, x, y, z, e_y1, e_y2, e_y3, p0, p1, p2, p3, norm_P
7.707707707707707190e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.196717894486190218e-08, 9.999999999999994449e-01, 2.326344664429810394e-08, 1.455226487158592930e-01, 1.254649550464057863e-08, 9.881848138001448900e-01, 9.895931312836886234e-09, 9.988423636963476016e-01
7.807807807807807254e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.937293077308354831e-08, 9.999999999999993339e-01, 2.079159778395955113e-08, 4.606137740167892680e-02, 1.512725460863137045e-08, 9.974087983007320357e-01, 9.692382455359439197e-09, 9.984718130302180361e-01
7.907907907907907319e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.691208843874721278e-08, 9.999999999999992228e-01, 1.636926795800341687e-08, -5.383609586724524831e-02, 1.795850872651173033e-08, 9.969166332365905214e-01, 9.152999116544501319e-09, 9.983692196988077638e-01
8.008008008008007383e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.416113299445037270e-08, 9.999999999999990008e-01, 9.782238588562053673e-09, -1.531970554448158772e-01, 2.103770579089269021e-08, 9.867052490407698384e-01, 8.208770851280030397e-09, 9.985272085835068534e-01
8.108108108108108558e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.063296818114678098e-08, 9.999999999999986677e-01, 8.999325930485940743e-10, -2.510487856849360488e-01, 2.436229373438529193e-08, 9.667715761463190338e-01, 6.790687214453973476e-09, 9.988357088321980770e-01
8.208208208208208623e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.579402901788785602e-08, 9.999999999999984457e-01, -1.031745048048469873e-08, -3.464185709415061876e-01, 2.792972048960049462e-08, 9.371125449862878209e-01, 4.829737760954315648e-09, 9.990924623195960308e-01
8.308308308308308687e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.860893510937429535e-08, 9.999999999999980016e-01, -2.378014266877015267e-08, -4.389547890721221535e-01, 3.154081451153347169e-08, 8.982115340527967451e-01, 2.183537161083342994e-09, 9.997325976254003432e-01
8.408408408408408752e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.896895212696802335e-08, 9.999999999999974465e-01, -3.936501007646399878e-08, -5.268059373125399958e-01, 3.543097291006757658e-08, 8.500104373834167504e-01, -1.197737667556040910e-09, 1.000021119401231839e+00
8.508508508508508816e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.627306648060895421e-08, 9.999999999999967804e-01, -5.677359227146630230e-08, -6.088561343214048405e-01, 3.959446871507013150e-08, 7.929546104186768751e-01, -5.378340008947196055e-09, 9.997413697977300950e-01
8.608608608608608881e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.956987225750904599e-08, 9.999999999999958922e-01, -7.539219127291971560e-08, -6.845701757644518937e-01, 4.384549108513905434e-08, 7.278561532674235890e-01, -1.047030708118240611e-08, 9.992051367939547291e-01
8.708708708708708945e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.803748414377187234e-08, 9.999999999999947820e-01, -9.431993824436083964e-08, -7.534128573074163615e-01, 4.799822917887224974e-08, 6.555271660385033616e-01, -1.658567610235394235e-08, 9.986725183815761131e-01
